City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
La Ronge,40,CA,1547355600,85,55.1,-105.3,17.6,5.82
Qaanaaq,0,GL,1547356159,100,77.48,-69.36,-24.64,9.89
Honiara,88,SB,1547356883,91,-9.43,159.96,79.76,3.13
Port Elizabeth,90,US,1547355780,92,39.31,-74.98,26.96,3.51
Narsaq,88,GL,1547355000,86,60.91,-46.05,32.0,10.29
Buchanan,40,LR,1547352000,100,5.88,-10.05,75.2,3.4
Asadabad,75,IR,1547355600,30,34.78,48.12,44.6,6.93
Tiksi,20,RU,1547356857,55,71.64,128.87,-31.84,3.36
Puerto Ayora,36,EC,1547356862,100,-0.74,-90.35,75.53,7.31
Kapaa,1,US,1547356020,78,22.08,-159.32,77.0,5.53
Thompson,90,CA,1547352000,85,55.74,-97.86,14.0,6.93
Starosubkhangulovo,80,RU,1547357483,85,53.1,57.43,23.33,12.68
Mindelo,0,PT,1547355600,100,41.31,-8.72,39.2,2.24
Mataura,88,NZ,1547356150,91,-46.19,168.86,55.37,4.63
Baracoa,92,CU,1547356912,100,20.35,-74.5,75.98,14.09
Taltal,0,CL,1547357019,97,-25.41,-70.49,50.78,1.34
Rognedino,88,RU,1547357484,94,53.8,33.56,24.77,8.32
Bluff,0,AU,1547356849,34,-23.58,149.07,94.43,12.3
Severo-Kurilsk,32,RU,1547356918,97,50.68,156.12,32.15,15.59
Cabo San Lucas,5,MX,1547354400,72,22.89,-109.91,64.4,3.36
Hovd,90,NO,1547355000,94,63.83,10.7,37.4,16.11
Beitbridge,12,ZA,1547357484,70,-22.21,29.99,80.84,13.8
Albany,75,US,1547351820,53,42.65,-73.75,17.06,5.82
Hobart,0,AU,1547353800,40,-42.88,147.33,71.6,17.22
Baykit,0,RU,1547357485,48,61.68,96.39,-30.4,3.29
Farim,8,GW,1547357485,57,12.48,-15.22,63.29,4.14
Souillac,75,FR,1547353800,93,45.6,-0.6,48.2,5.82
Haines Junction,44,CA,1547357002,51,60.75,-137.51,-20.14,2.06
Nikolskoye,20,RU,1547355600,85,59.7,30.79,23.0,8.95
Vaini,0,IN,1547355600,44,15.34,74.49,78.8,6.93
Xingcheng,0,CN,1547357206,29,40.62,120.71,34.31,10.78
Kruisfontein,0,ZA,1547356851,81,-34.0,24.73,67.52,5.53
Hilo,75,US,1547355180,81,19.71,-155.08,71.06,5.82
Bilisht,40,AL,1547355600,84,40.62,20.99,8.6,4.7
Punta Arenas,75,CL,1547352000,65,-53.16,-70.91,46.4,31.09
